rehearse	リハーサルをする、暗唱（復唱）する
rundown	（産業や会社などの）縮小、衰退<div>（口語では、概要や要約という意味でも使われる）</div>
cherish	大事にする、可愛がる
immense	巨大な、計り知れない
generic	一般的な、属の
customary	習慣的な、通例の
tenacity	"固執、粘り強さ、不屈<div><div><b>tenacity</b>&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/purpose"">purpose</a>&nbsp;不撓不屈の志</div></div><div><div><a href=""https://ejje.weblio.jp/content/The+Japanese"">The Japanese</a>&nbsp;<a href=""https://ejje.weblio.jp/content/lack"">lack</a>&nbsp;<b>tenacity</b>. 日本人は踏みこたえが無い</div></div>"
embrace	抱きしめる、取り囲む、含む、（主義などを）採用する
intellect	知力、知識人
evolve	（他・自）発展する、進化する、放出する
audacious	"大胆な、図々しい<div>audacityで図太さ、大胆さ<br><div>an audacious lie</div></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;had the&nbsp;audacity&nbsp;<a href=""https://ejje.weblio.jp/content/to+question"">to question</a>&nbsp;<a href=""https://ejje.weblio.jp/content/my"">my</a>&nbsp;honesty.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E3%81%9A%E3%81%86%E3%81%9A%E3%81%86%E3%81%97%E3%81%8F"">ずうずうしく</a>も<a href=""https://ejje.weblio.jp/content/%E7%A7%81%E3%81%AE"">私の</a><a href=""https://ejje.weblio.jp/content/%E6%AD%A3%E7%9B%B4"">正直</a>を<a href=""https://ejje.weblio.jp/content/%E7%96%91"">疑</a>った.</span><br></div>"
surpass	上回る、勝る
privileged	特権のある、光栄で
exempt	免除する
resilience	弾力、回復力
retroactively	さかのぼって
delegate	代表に指名する、（権限などを）委任する
knack	こつ
excessively	過剰に、非常に
engagement	約束、婚約、雇用
tailor	服屋、仕立て屋
outreach	上回る、しのぐ、（名詞だと手を伸ばすことや普及活動という意味も）
churn out&nbsp;	"（口語）大量生産する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">churn out&nbsp;<a href=""https://ejje.weblio.jp/content/movie"">movie</a>&nbsp;after&nbsp;<a href=""https://ejje.weblio.jp/content/movie"">movie</a>&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">(<a href=""https://ejje.weblio.jp/content/%E3%81%8F%E3%81%A0%E3%82%89%E3%81%AA%E3%81%84"">くだらない</a>)<a href=""https://ejje.weblio.jp/content/%E6%98%A0%E7%94%BB"">映画</a>を<a href=""https://ejje.weblio.jp/content/%E6%AC%A1%E3%80%85%E3%81%AB"">次々に</a><a href=""https://ejje.weblio.jp/content/%E5%87%BA%E3%81%99"">出す</a>.</span><br></div>"
glitch	"（機械や計画などの）欠陥、故障<div><div><a href=""https://ejje.weblio.jp/content/I+wonder+why"">I wonder why</a>&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/system"">system</a>&nbsp;<b>glitch</b>&nbsp;has&nbsp;<a href=""https://ejje.weblio.jp/content/occurred"">occurred</a>&nbsp;<a href=""https://ejje.weblio.jp/content/despite"">despite</a>&nbsp;the&nbsp;<a href=""https://ejje.weblio.jp/content/careful"">careful</a>&nbsp;and&nbsp;<a href=""https://ejje.weblio.jp/content/repeated"">repeated</a>&nbsp;<a href=""https://ejje.weblio.jp/content/inspections"">inspections</a>&nbsp;and&nbsp;<a href=""https://ejje.weblio.jp/content/tests"">tests</a>&nbsp;which&nbsp;<a href=""https://ejje.weblio.jp/content/I+think"">I think</a>&nbsp;<a href=""https://ejje.weblio.jp/content/must+have+been"">must have been</a>&nbsp;conducted.</div><div>十分念入りに点検し試験を重ねてきたはずなのに、なぜこのようなところで不具合が起きたのか</div></div>"
embark	"乗り込む、乗り出す、従事する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Many+people"">Many people</a>&nbsp;embark&nbsp;<a href=""https://ejje.weblio.jp/content/at"">at</a>&nbsp;<a href=""https://ejje.weblio.jp/content/Dover"">Dover</a>&nbsp;<a href=""https://ejje.weblio.jp/content/for+the"">for the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/Continent"">Continent</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/France"">France</a>].</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%83%A8%E3%83%BC%E3%83%AD%E3%83%83%E3%83%91%E5%A4%A7%E9%99%B8"">ヨーロッパ大陸</a>[<a href=""https://ejje.weblio.jp/content/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9"">フランス</a>]に<a href=""https://ejje.weblio.jp/content/%E5%90%91%E3%81%8B%E3%81%86"">向かう</a><a href=""https://ejje.weblio.jp/content/%E4%BA%BA%E3%81%AF"">人は</a><a href=""https://ejje.weblio.jp/content/%E5%A4%9A%E3%81%8F"">多く</a><a href=""https://ejje.weblio.jp/content/%E3%83%89%E3%83%BC%E3%83%90%E3%83%BC"">ドーバー</a>で<a href=""https://ejje.weblio.jp/content/%E4%B9%97%E8%88%B9%E3%81%99%E3%82%8B"">乗船する</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/embarked"">embarked</a>&nbsp;<a href=""https://ejje.weblio.jp/content/on+a"">on a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/new"">new</a>&nbsp;enterprise.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E6%96%B0%E3%81%97%E3%81%84%E4%BA%8B"">新しい事</a><a href=""https://ejje.weblio.jp/content/%E6%A5%AD"">業</a>に<a href=""https://ejje.weblio.jp/content/%E4%B9%97%E3%82%8A"">乗り</a><a href=""https://ejje.weblio.jp/content/%E5%87%BA%E3%81%97"">出し</a>た.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
